contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected
SPY250630C00549000,2025-06-27 14:15:25+00:00,549.0,66.26,64.44,66.58,7.9900017,13.712033,12.0,16,0.8911143701171874,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8928136214680658,2025-06-29 12:49:52.353214
SPY250630C00550000,2025-06-27 19:59:53+00:00,550.0,65.0,63.44,65.58,3.5,5.691057,94.0,74,0.8793957373046875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8944398757876797,2025-06-29 12:49:52.353214
SPY250630C00551000,2025-06-18 19:05:19+00:00,551.0,46.92,62.44,64.58,0.0,0.0,12.0,0,0.8676771044921875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8960661301072936,2025-06-29 12:49:52.353214
SPY250630C00552000,2025-06-20 13:46:02+00:00,552.0,48.42,61.44,63.58,0.0,0.0,1.0,1,0.8559584716796875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8976923844269077,2025-06-29 12:49:52.353214
SPY250630C00553000,2025-06-26 15:16:51+00:00,553.0,57.72,60.44,62.58,0.0,0.0,2.0,2,0.8442398388671875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8993186387465216,2025-06-29 12:49:52.353214
SPY250630C00554000,2025-06-23 16:02:41+00:00,554.0,42.22,59.44,61.58,0.0,0.0,3.0,4,0.8325212060546874,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9009448930661356,2025-06-29 12:49:52.353214
SPY250630C00555000,2025-06-20 18:20:00+00:00,555.0,41.27,58.44,60.58,0.0,0.0,40.0,44,0.8208025732421874,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9025711473857495,2025-06-29 12:49:52.353214
SPY250630C00556000,2025-06-23 19:54:00+00:00,556.0,44.87,57.44,59.58,0.0,0.0,2.0,5,0.8090839404296875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9041974017053634,2025-06-29 12:49:52.353214
SPY250630C00557000,2025-06-20 15:19:52+00:00,557.0,39.49,56.45,58.58,0.0,0.0,2.0,4,0.7973653076171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9058236560249775,2025-06-29 12:49:52.353214
SPY250630C00558000,2025-06-26 15:47:12+00:00,558.0,52.73,55.44,57.58,0.0,0.0,1.0,4,0.7856466748046875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9074499103445914,2025-06-29 12:49:52.353214
