contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,delta,gamma,theta,vega
SPY250630C00519000,2025-06-13 14:02:29+00:00,519.0,79.49,94.43,96.57,0.0,0.0,2.0,0,1.241214731445312,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8440259918796469,2025-06-29 12:49:52.353214,6,6,2.0,2.1399999999999864,95.5,-16.010000000000005,0.0,0.0,0.0,0.0
SPY250630C00520000,2025-06-27 14:18:35+00:00,520.0,95.0,93.43,95.57,3.5100021,3.8364873,1.0,159,1.2294960400390624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8456522461992608,2025-06-29 12:49:52.353214,6,6,0.00625,2.1399999999999864,94.5,0.5,0.0,0.0,0.0,0.0
SPY250630C00521000,2025-06-11 18:37:32+00:00,521.0,81.21,92.43,94.57,0.0,0.0,1.0,6,1.2177773486328125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8472785005188748,2025-06-29 12:49:52.353214,6,6,0.14285714285714285,2.1399999999999864,93.5,-12.290000000000006,0.0,0.0,0.0,0.0
SPY250630C00522000,2025-06-20 13:57:54+00:00,522.0,76.34,91.43,93.57,0.0,0.0,3.0,1,1.2060586572265624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8489047548384887,2025-06-29 12:49:52.353214,6,6,1.5,2.1399999999999864,92.5,-16.159999999999997,0.0,0.0,0.0,0.0
SPY250630C00523000,2025-06-18 19:00:57+00:00,523.0,73.86,90.43,92.57,0.0,0.0,3.0,0,1.1938516870117186,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8505310091581028,2025-06-29 12:49:52.353214,6,6,3.0,2.1399999999999864,91.5,-17.64,0.0,0.0,0.0,0.0
SPY250630C00524000,2025-06-26 13:40:51+00:00,524.0,85.0,89.43,91.57,0.0,0.0,2.0,2,1.1821329956054685,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8521572634777167,2025-06-29 12:49:52.353214,6,6,0.6666666666666666,2.1399999999999864,90.5,-5.5,0.0,0.0,0.0,0.0
SPY250630C00525000,2025-06-27 13:37:35+00:00,525.0,88.27,88.43,90.57,18.269997,26.099995,1.0,22,1.1704143041992188,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8537835177973306,2025-06-29 12:49:52.353214,6,6,0.043478260869565216,2.1399999999999864,89.5,-1.230000000000004,0.0,0.0,0.0,0.0
SPY250630C00526000,2025-06-20 17:35:17+00:00,526.0,68.31,87.43,89.57,0.0,0.0,1.0,1,1.1586956127929686,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8554097721169446,2025-06-29 12:49:52.353214,6,6,0.5,2.1399999999999864,88.5,-20.189999999999998,0.0,0.0,0.0,0.0
SPY250630C00527000,2025-06-18 19:03:47+00:00,527.0,70.5,86.44,88.57,0.0,0.0,4.0,0,1.1464886425781249,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8570360264365585,2025-06-29 12:49:52.353214,6,6,4.0,2.1299999999999955,87.505,-17.004999999999995,0.0,0.0,0.0,0.0
SPY250630C00528000,2025-06-26 16:57:00+00:00,528.0,82.75,85.44,87.57,0.0,0.0,1.0,7,1.1347699511718752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8586622807561726,2025-06-29 12:49:52.353214,6,6,0.125,2.1299999999999955,86.505,-3.7549999999999955,0.0,0.0,0.0,0.0
SPY250630C00529000,2025-06-18 19:05:43+00:00,529.0,69.07,84.44,86.57,0.0,0.0,2.0,0,1.123051259765625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8602885350757865,2025-06-29 12:49:52.353214,6,6,2.0,2.1299999999999955,85.505,-16.435000000000002,0.0,0.0,0.0,0.0
SPY250630C00530000,2025-06-26 18:52:25+00:00,530.0,81.51,83.43,85.57,0.0,0.0,1.0,3,1.111332568359375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8619147893954004,2025-06-29 12:49:52.353214,6,6,0.25,2.1399999999999864,84.5,-2.989999999999995,0.0,0.0,0.0,0.0
SPY250630C00531000,2025-06-18 19:15:16+00:00,531.0,67.37,82.43,84.57,0.0,0.0,2.0,0,1.0996138769531252,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8635410437150144,2025-06-29 12:49:52.353214,6,6,2.0,2.1399999999999864,83.5,-16.129999999999995,0.0,0.0,0.0,0.0
SPY250630C00532000,2025-06-20 14:01:52+00:00,532.0,66.08,81.43,83.57,0.0,0.0,29.0,18,1.087895185546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8651672980346283,2025-06-29 12:49:52.353214,6,6,1.5263157894736843,2.1399999999999864,82.5,-16.42,0.0,0.0,0.0,0.0
SPY250630C00533000,2025-06-26 19:23:13+00:00,533.0,79.0,80.43,82.57,0.0,0.0,5.0,5,1.076176494140625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8667935523542424,2025-06-29 12:49:52.353214,6,6,0.8333333333333334,2.1399999999999864,81.5,-2.5,0.0,0.0,0.0,0.0
SPY250630C00534000,2025-06-18 18:53:04+00:00,534.0,64.78,79.43,81.57,0.0,0.0,7.0,0,1.0644578027343752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8684198066738563,2025-06-29 12:49:52.353214,6,6,7.0,2.1399999999999864,80.5,-15.719999999999999,0.0,0.0,0.0,0.0
SPY250630C00535000,2025-06-20 15:02:18+00:00,535.0,59.68,78.44,80.57,0.0,0.0,42.0,17,1.052739111328125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8700460609934703,2025-06-29 12:49:52.353214,6,6,2.3333333333333335,2.1299999999999955,79.505,-19.824999999999996,0.0,0.0,0.0,0.0
SPY250630C00536000,2025-06-20 13:31:16+00:00,536.0,62.41,77.44,79.57,0.0,0.0,5.0,5,1.041020419921875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8716723153130842,2025-06-29 12:49:52.353214,6,6,0.8333333333333334,2.1299999999999955,78.505,-16.095,0.0,0.0,0.0,0.0
SPY250630C00537000,2025-06-24 13:59:02+00:00,537.0,67.4,76.44,78.57,0.0,0.0,2.0,1,1.0293017285156252,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8732985696326981,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,77.505,-10.10499999999999,0.0,0.0,0.0,0.0
SPY250630C00538000,2025-06-18 19:08:25+00:00,538.0,59.83,75.44,77.57,0.0,0.0,9.0,1,1.017583037109375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8749248239523122,2025-06-29 12:49:52.353214,6,6,4.5,2.1299999999999955,76.505,-16.674999999999997,0.0,0.0,0.0,0.0
SPY250630C00539000,2025-06-18 19:12:29+00:00,539.0,58.47,74.44,76.57,0.0,0.0,5.0,0,1.0058643457031249,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8765510782719261,2025-06-29 12:49:52.353214,6,6,5.0,2.1299999999999955,75.505,-17.034999999999997,0.0,0.0,0.0,0.0
SPY250630C00540000,2025-06-27 19:58:58+00:00,540.0,75.07,73.44,75.57,9.050003,13.7079735,32.0,101,0.99414068359375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8781773325915401,2025-06-29 12:49:52.353214,6,6,0.3137254901960784,2.1299999999999955,74.505,0.5649999999999977,0.0,0.0,0.0,0.0
SPY250630C00541000,2025-06-18 20:12:36+00:00,541.0,56.86,72.44,74.58,0.0,0.0,6.0,0,0.9853517089843752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.879803586911154,2025-06-29 12:49:52.353214,6,6,6.0,2.1400000000000006,73.50999999999999,-16.64999999999999,0.0,0.0,0.0,0.0
SPY250630C00542000,2025-06-25 13:58:29+00:00,542.0,66.53,71.44,73.58,0.0,0.0,4.0,4,0.973633076171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8814298412307681,2025-06-29 12:49:52.353214,6,6,0.8,2.1400000000000006,72.50999999999999,-5.97999999999999,0.0,0.0,0.0,0.0
